Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1980,Little Darlings,American,Ronald F. Maxwell,"Tatum O'Neal, Kristy McNichol, Matt Dillon, Armand Assante, Cynthia Nixon",comedy,https://en.wikipedia.org/wiki/Little_Darlings,"A group of teenage girls from Atlanta go to summer camp, and, unbeknownst to the adults, two of them make a bet as to which one will lose her virginity first, with all the girls in camp betting money on the contest. The girls involved in the contest are opposites and rivals: cynical, suspicious and streetwise poor girl Angel Bright, and naive, prissy and romantic rich girl Ferris Whitney. They rest of the girls divide into two ""teams"", each rooting for and egging on either Ferris or Angel. The two girls then choose ""targets"", or guys they want to be the ones they lose their virginity with. Both girls discover that sex is not what they thought it would be. At the same time, the girls engage in typical teenage behavior, such as food fights and other activities.
Ferris thinks of love as romance and wine and flowers. She imagines herself swept off her feet by Gary, the camp counselor. When she lies about ""making love"" with him, the biological side manifests itself in others' reactions to what she said she did. She discovers that, at least in the context of a camp counselor having sex with a fifteen-year-old, sex can be hurtful and its consequences ugly. Her attitude is now more grounded in reality; she has become more like street-wise Angel.
Angel approaches the same issue from the other side. She views winning the contest as a mechanical, purely biological function, ""no big deal"" as her mother has told her. But when she tries to do ""it"" with Randy in the boathouse, she becomes confused by feelings she did not know she had. She behaves very defensively, as if Randy is trying to force her to have sex. Randy, who could take it or leave it, is put off by her recalcitrance and leaves. She then must admit to herself that sex is not a mechanical function she can cynically turn on and off, but is something she deeply wants to do.
Angel reconnects with Randy later with a much improved attitude, one closer to Ferris'. This time she pays attention not to clothing removal procedures and condoms, but to her feelings for Randy and proceeds to lose her virginity with him.
In the end, Ferris discovers that love involves sex, which is not always romantic, and Angel discovers that sex involves love, which deeply touches her and transforms her soul. They both grow up that summer."
1951,Rhubarb,American,Arthur Lubin,"Ray Milland, Jan Sterling, Gene Lockhart",comedy,https://en.wikipedia.org/wiki/Rhubarb_(1951_film),"Thaddeus J. Banner (Gene Lockhart), a lonely, eccentric millionaire who owns a baseball team, the Brooklyn Loons, takes a liking to a dog-chasing stray cat (played by Orangey), and takes him into his home. He names the cat ""Rhubarb,"" which is baseball slang for an on-field argument or fight.
When the man dies, it is discovered that his last will and testament made Rhubarb his sole beneficiary; hence the cat inherits the baseball team. Team publicist Eric Yeager (Ray Milland) is named the cat's guardian. His fiancée Polly Sickles (Jan Sterling), daughter of the team's manager (William Frawley), is terribly allergic to Rhubarb, causing many problems.
Banner's unhappy daughter Myra (Elsie Holmes) files a lawsuit, contesting the will. And when the team's players discover they are owned by a cat, they stage a protest until Yeager persuades them that Rhubarb brings them luck.
Brooklyn begins winning and will play the powerful New York team for the championship. But a bookie who stands to lose big if Brooklyn wins decides to kidnap the cat. Brooklyn's fortunes turn for the worse while the search for Rhubarb goes on, until the cat finally escapes from his captors and races to the ballpark to save the day."
1955,The Right Person,British,Peter Cotes,"Margo Lorenz, Douglas Wilmer",drama,https://en.wikipedia.org/wiki/The_Right_Person,"Margo Lorenz plays the newly married Martha Jorgensen, who is sat in her Copenhagen hotel room waiting for her husband, Jorgen, to return. She receives a visit from the mysterious Mr. Rasmusson (Douglas Wilmer), who claims to have been a ""comrade"" of her husband during World War II. He asks her not to tell her husband he is there if he should call.
When Jorgen rings, Martha tells him there is a visitor, but Rasmusson is furious that she has told him he is waiting, and produces a gun. He reveals that he and Jorgenson were two of a group of 12 men in the Danish underground resistance. They were discovered, and ten were shot. Rasmusson concludes that the only other survivor must have been the informer, whom he suspects has returned to the country to claim the equivalent of £5,000 stolen from the organisation. After more than ten years, he has sought out Jorgenson in order to kill him in revenge.
The distraught Martha refuses to believe her husband could have lied to her, but eventually admits she has some doubts.
When Jorgenson (David Markham) arrives home, he and Rasmusson talk, but Rasmusson does not reveal his true intent. After questioning him, Rasmusson establishes that Jorgenson is not the man he is looking for. The threesome drink together, and Rasmusson leaves in a noticeably cheerier mood, thankful to have spared Martha the distress of losing her husband.
Martha is satisfied that her husband has not lied, until the final moments, when Jorgen reveals he has been out for the day on business, settling the estate of a late uncle - who has left him the princely sum of £5,000."
2011,Aadukalam,Tamil,Vetrimaran,,drama,https://en.wikipedia.org/wiki/Aadukalam,"In Madurai, veteran rooster trainer Pettaikaaran aka Pettai (V. I. S. Jayapalan) and Police Inspector Rathnaswamy (Naren) are tough competitors in cockfights, and it is often Pettai who wins because nobody knows his way of maintaining the quality of the birds.
Karuppu (Dhanush) and Durai (Kishore) are the favorites in Pettai's team. Karuppu is very talented in breeding and training roosters, while Durai is very rich, owns three bars in the town of Thiruparangundram, and is also talented in cock training. Rathnaswamy keeps insisting on having one last fight to win and satisfy his old mother’s wish, but Pettai declines to have any more fights with him because he feels Rathnaswamy has lost faith in his roosters and will be using nefarious methods to win. Rathnaswamy keeps insisting and tries to make him accept the challenge through cajoling, threatening, bribing and other vile acts.
Karuppu falls in love with an Anglo-Indian girl, Irene (Taapsee), who dislikes him. He does not recognize this initially and keeps following her. One day, the residents of Irene's colony confront him and ask Irene to tell who she is in love with – Karuppu or Dinesh (Dinesh Ravi), another man in the locality. She points her finger at Karuppu and he goes into rapture. She explains later that she had to lie in order to avoid Dinesh who has been bothering her for a long time. Later, Irene too falls in love with Karuppu.
Meanwhile, one of Pettai's close associates, Ayubh, his veterinarian for his roosters, is killed in a hit and run accident. Durai initially suspects Rathnaswamy, and all of Pettai's gang wants revenge. But, Pettai decides to conduct a tournament in Ayubh's name and provide his family with funds, so that Ayubh's daughters can be married. He asks permission from Rathnasamy, as the police have to permit it, but Rathnaswamy refuses and berates Pettai as a thief. In a rage Pettai, suspecting Rathnaswamy of the murder, agrees to the one-on-one rooster fight Rathnaswamy has been asking for so long. He bets that, he will use his field roosters against all of Rathnaswamy's roosters in the following tournament. If one of Pettai's roosters loose against Rathnaswamy's, he will tonsure his head and face, publicly apologies to him, and will quit rooster fights. But, if Rathnaswamy is not able to beat any 1 of his roosters, the same conditions will be applied on him, at the end of the day. Finally getting his way, Rathnaswamy permits the tournament.
The grand state tournament is arranged by Pettai's team, getting funds and an official permission. In the crucial fight, Rathnasamy brings high breed roosters from Bangalore. Karuppu asks Pettai to let his rooster fight, but Pettai puts his rooster down and says he will choose the best competing rooster himself. Karuppu surreptitiously enters the contest as Pettai's team before Pettai can choose the rooster because he needs to repay Irene for the loan he took to prepare his rooster for the fight. Pettai does not believe in Karuppu and his rooster, announces that Karuppu will not represent Pettai, and the result of Karuppu's match will not be acknowledged by his team. The 'underdog' however emerges victorious in three consecutive rounds despite facing roosters spiked with steroids. Karuppu gets the best coach award of the tournament and his bet money of 3 lakh 10 thousand₹10 lakh (equivalent to ₹15 lakh or US$22,000 in 2017).
While initially happy that Karuppu won, Pettai is soon overcome with anger and jealousy. His ego is hurt by the fact that Karuppu earns both popularity and money, by refuting his judgement. Karuppu is not aware of the changes in Pettai's mind. Pettai is at first refusing to speak to anyone and then starts scheming. Karuppu gives to Pettai the money from the competition for safe keeping, in which he plans to use to start a business. But, it suddenly goes missing. Pettai also starts spinning stories about his associates and makes everyone suspicious of each other. He incites Karuppu and Durai into pitting their roosters in a fight. Meanwhile, Karuppu's mother dies from the shock of losing all the money. Meanwhile, Pettai poisons all of Durai's roosters making him suspect Karuppu, who is arrested for this. Pettai then lies to Irene that his wife was in an adulterous relationship with Karuppu. Irene's family also pressure her to move to Chennai which pushes her into attempting to commit suicide. Pettai meanwhile calls Karuppu to a location near a temple and informs Durai about his whereabouts. When Irene gets better, she calls Karuppu and informs him that Pettai is badmouthing him. So, Karuppu goes to find Pettai and confront him. Karuppu finds that Pettai was the one who stole his money, and a guilt-ridden Pettai kills himself. Karuppu does not wish to reveal the fact to the public that Pettai stole his money and schemed against him, so he flees with Irene to start a new life in another city leaving the money with his friend."
1974,Athaiya Mamiya,Tamil,Gopu,"Jaishankar, Ushanandini, Nagesh, Thengai Srinivasan, Venniradai Moorthy, Manorama, Sukumari, Sachu",unknown,https://en.wikipedia.org/wiki/Athaiya_Mamiya,"Shankar(Jaishankar) returns from abroad after successfully completing his higher studies. Shankar's parents plan to marry off Shankar to one of their relative's daughter. A series of comic incidents while they try to convince Shankar to marry. Things get serious when Shankar reveals to them that he already met the love of his life, Usha(Ushanandini) and married her. Angered by this, his father throws him out of his house and Usha joins with Shankar to start a new life.
How they succeed in establishing their life is the rest of the movie."
1991,An American Tail: Fievel Goes West,American,Unknown,"James Stewart, John Cleese, Amy Irving (voices)",animated,https://en.wikipedia.org/wiki/An_American_Tail:_Fievel_Goes_West,"Shortly after immigrating to the United States in 1885, the impoverished Mousekewitz family discovers that conditions are not as ideal as they had hoped, as they find themselves still struggling against the attacks of mouse-hungry cats. Fievel spends his days thinking about the Wild West dog-sheriff Wylie Burp, while his older sister, Tanya, dreams of becoming a singer. Meanwhile, Tiger's girlfriend, Miss Kitty, leaves him to find a new life out west, remarking that perhaps she is looking for ""a cat that's more like a dog.""
Soon after, Cat R. Waul, an aristocrat cat forces the mice into the sewers, including the Mousekewitzes. Using a mouse marionette, Cat R. Waul entices the mice into moving yet again to a better life out west. Tiger chases the train, trying to catch up with his friends, but is thrown off course by a pack of angry dogs. While on the train, Fievel wanders into the livestock car, where he overhears the cats revealing their plot to turn them into ""mouse burgers."" After being discovered, he is thrown from the train by Cat R.'s hench-spider, T.R. Chula, landing him in the middle of the desert. His family is devastated once again over his loss and arrive in Green River, Utah with heavy hearts.
Upon arrival at Green River, Chula blocks up the water tower, drying up the river. Cat R. approaches the mice and proposes to build a new saloon together, although intending to trick the mice into doing the bulk of the work and then eat them afterwards. Meanwhile, Fievel is wandering aimlessly through the desert, as is Tiger, who has found his way out west as well, and they pass each other. However, they each figure that the other is a mirage and continue on their separate ways. Tiger is captured by mouse Indians and hailed as a god. Fievel is picked up by a hawk, dropped over the mouse Indian village and reunites with Tiger. Tiger chooses to stay in while Fievel catches a passing tumbleweed, which takes him to Green River. As soon as he makes his arrival, he quickly reunites with his family but is unable to convince them of Cat R.'s plans to kill them. However, Cat R. hears Tanya singing and is enchanted by her voice.
He sends Tanya to Miss Kitty, who is now a saloon-girl cat, and she reveals that she came at Cat R.'s request. He tells Miss Kitty to put her on stage. With a little encouragement from Miss Kitty, she pulls off a performance for the cats. Meanwhile, Fievel is chased by Chula and briefly taken prisoner, but flees.
While walking out of town, Fievel stops to talk with an elderly bloodhound sleeping outside the jail, discovering that he is actually Wylie Burp. Fievel convinces him to help and train Tiger as a lawman and as a dog. Tiger is reluctant at first, but relents at the suggestion that a new persona might win back Miss Kitty. They go back to Green River to fight the cats, who attempt to kill the mice at sunset during the opening of Cat R.'s saloon using a giant mouse trap. Tiger, Wylie and Fievel intervene and battle the cats. When Chula threatens to kill Miss Kitty, however, Tiger rescues her and uses a pitchfork and Chula's web as a lasso with him trapped on it to hurtle Cat R. and his men out of town by having them piled on part of the trap, which the heroes use as a catapult. The cats fly into the air and land into a mailbag, which a passing train picks up and leaves.
Enamored by his new personality, Miss Kitty and Tiger are reunited. Tanya becomes a famous singer and the water tower flows with 9,000 gallons of water again, making Green River bloom with thousands of flowers. Fievel finds Wylie away from the party who hands him his sheriff badge. Fievel is unsure about taking it, but realizes that his journey is not over."
1934,Grand Prix,British,St. John Legh Clowes,"John Stuart, Peter Gawthorne",sports,https://en.wikipedia.org/wiki/Grand_Prix_(1934_film),A racing car driver accidentally kills his fiancee's father.
2015,Library Wars: The Last Mission,Japanese,Shinsuke Sato,"Junichi Okada, Nana Eikura, Kei Tanaka","romance, action, comedy",https://en.wikipedia.org/wiki/Library_Wars:_The_Last_Mission,"It is a time in which the expression of thought is censored, and the media is tightly controlled. Bearing up under a harsh regimen of instruction under the terrifying Atsushi Dojo, Iku Kasahara is now a full-fledged member of the Library Defense ‘Task Force’, and divides her time between hard physical training and regular library work. Dojo and the rest of the Task Force are ordered to guard a public exhibition featuring ‘The Handbook of Library Law’, a book widely seen as the symbol of freedom, of which there is only one existing copy. The assignment seems easy enough, but this is in fact a trap designed to wipe out and thus disband the Task Force and restore a twisted society to the correct moral path."
1996,Irma Vep,American,Olivier Assayas,Maggie Cheung,drama,https://en.wikipedia.org/wiki/Irma_Vep,"Cheung is employed to play the film-within-the-film's heroine, Irma Vep (an anagram for vampire), a burglar, who spends most of the film dressed in a tight, black, latex rubber catsuit, defending her director's odd choices to hostile crew members and journalists. As the film progresses, the plot mirrors the disorientation felt by the film's director. Cheung the character is in many ways seen by other characters as an exotic sex object dressed in a latex catsuit; both the director and Cheung's costume designer Zoe (Nathalie Richard) have crushes on her.
The film makes reference to iconic figures in French film history: Louis Feuillade, Musidora, Arletty, François Truffaut, the Groupe SLON, Alain Delon, and Catherine Deneuve. Thematically, the film questions the place of French cinema today. It is not a “mourning for cinema with the romantic nostalgia” but “more like the Mexican Day of the Dead: remembrance as an act of celebration,”[3] so that “It is less a film about re-presenting the past, than it is a film about addressing the present, specifically the place of France within the global economy.”[4]"
1964,The Pumpkin Eater,British,Jack Clayton,"Anne Bancroft, Peter Finch, James Mason",drama,https://en.wikipedia.org/wiki/The_Pumpkin_Eater,"The story revolves around Jo Armitage (Bancroft), a woman with an ambiguous number of children from three marriages, who becomes negative and withdrawn after discovering that her third (and current) husband, Jake (Finch), has been unfaithful to her. After a series of loosely related events in which Jake's infidelity is balanced by his reliability as a breadwinner and a father, Jo and Jake take a first tentative step toward reconciliation.
Most of the story is based on two issues: Jo's frequent childbearing and Jake's extramarital affairs. The question of Jo's fertility is first broached by her psychiatrist. He suggests that she may feel uncomfortable with the messiness or vulgarity of sex and that she may be using childbirth to justify it to herself. This does not prevent her from becoming pregnant again, but she follows suggestions by Jake and her doctor that she have an abortion and be sterilized, and she seems happy after the operation.
Meanwhile, signs accumulate that Jake has been having affairs while pursuing a successful career as a screenwriter. The first indication of his infidelity concerns a woman who lived with the Armitage family for a while. Jake reacts irrationally and unconvincingly to Jo's questioning after the children tell her the woman fainted into Jake's arms. The second sign comes from Bob Conway (Mason), an acquaintance who alleges an affair between his wife and Jake during production of a film in Morocco. Finally, Jake admits some of his infidelities under heated interrogation by Jo. After venting her frustration by furiously assaulting him, she retaliates by having an affair with her second husband. This elicits coldness from Jake.
In the film's finale, Jo spends a night alone in the windmill (near the converted barn she had lived in with her second husband and children) that the couple has been renovating. The following morning, Jake and their children arrive at the windmill with food. Seeing how happy her children are with Jake, Jo indicates her acceptance of him by sadly but graciously accepting a can of beer from him, a gesture which echoes another scene in the windmill from a happier time in their marriage."
2013,The Spy: Undercover Operation,South_Korean,Lee Seung-jun,"Sol Kyung-gu, Moon So-ri,
Daniel Henney",unknown,https://en.wikipedia.org/wiki/The_Spy:_Undercover_Operation,"Chul-soo is the greatest secret agent in South Korea, but at home he is a loving husband who's intimidated by his flight attendant wife Young-hee, who thinks her husband is a normal office worker.
One day, Chul-soo tells his wife that he'll be going to Busan for business, but actually travels with his department head Jin to Bangkok, Thailand to carry out a top secret operation with national ramifications. While in Bangkok, Chul-soo spots his wife Young-hee (who is supposed to be in Korea) with a good-looking man named Ryan. Chul-soo has his hands full with his mission, but also decides to follow his wife..."
2014,The Guest,British,Director: Adam Wingard,"Director: Adam Wingard
Cast: Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley, Brendan Meyer, Lance Reddick",unknown,https://en.wikipedia.org/wiki/The_Guest_(film),"Spencer and Laura Peterson with their children Luke and Anna are coping with the loss of their eldest son, Caleb, to the war in Afghanistan. They are visited by David Collins, a former army Sergeant and Caleb's best friend. He announces to the family his reason of visit; to help Caleb take care of the family. David is polite, warm and friendly toward the family, and Laura offers to let him stay as long as he needs to.
David hears of Spencer's troubles at work and sees Luke return home with a mark on his face, caused by a gang of jock bullies in school. The next day, with Luke's help, David follows the bullying jock gang that attacked Luke to a bar, and humiliates them in a confrontation which erupts into a fight that injures all the bullies. He then uses his knowledge of the law, as well as a bribe, to convince the bartender not to tell anyone. David then goes to a party with a reluctant Anna, where he makes a good impression with her friends. He later saves her friend Kristen from her ex-boyfriend and then has sex with her, and also inquires about where to buy guns from Anna's friend Craig. On their way home, Anna offers to make David a mix CD.
David gives Luke some advice on dealing with bullies and gives him his butterfly knife. He meets Craig and his friend to buy the gun, but then kills them both and takes all the weapons, including two grenades. An increasingly suspicious Anna calls the military base to ask about David. The call alerts a private corporation headed by Major Carver, who assembles a special forces team and heads to the Peterson's house. Anna is told that David had presumably died a week earlier. She then learns that Craig was killed and her boyfriend Zeke has been blamed for it. It is revealed that Spencer's boss died under mysterious circumstances, giving him the promotion he always wanted. Anna asks Luke to research the numbers David has called on his phone.
At school, one of the bullies assaults Luke again, and he retaliates, injuring the bully. After they are both sent to the principal's office, David arrives and blackmails the principal to give Luke a month of after-school detention with threats of litigation if the principal expels him. Luke tells David of Anna's suspicions, but promises not to investigate any further or tell anyone else. While David helps Laura with the laundry, Major Carver's team attack the house. David deftly kills all except Carver. Deciding his cover has been blown, David kills Laura. While driving away, he sees Spencer and kills him as well.
Carver picks up Anna and informs her of her parents' death. He also reveals that David was a soldier who became one of the test subjects for a medical experiment in the military and, being a former test subject of the said military program, he was ""programmed"" to kill anyone who might compromise his identity. David kills Kristen, destroys the restaurant she works at, then heads for the school to kill Luke. Carver and Anna head for the school, and enter a haunted house set up for the Halloween dance. David announces his presence by turning off the lights and playing Anna's mix CD, then kills Luke's teacher and Carver. Anna shoots David with Carver's gun, but David stabs her in the leg and attempts to choke her. Luke stabs David with his own butterfly knife. The dying David tells Luke that he's proud of him and that Luke did the right thing.
Sitting in an ambulance, Anna and Luke overhear the firefighters talking about discovering two charred corpses with no teeth. Anna sees a firefighter limp out from within, who turns to face her. Much to her horror, it is revealed that the firefighter is David himself, using the guise to quietly escape the busy scene."
1996,Sarada Bullodu,Telugu,Raviraja Pinisetty,"Daggubati Venkatesh, Nagma, Sanghavi",unknown,https://en.wikipedia.org/wiki/Sarada_Bullodu,"Vijay (Venkatesh), an engineer in AP Oils, stays with his widowed mother Shanta (Sangeeta). He finds out that there are oil wells near Attamadugu village. Sangliyana (Mohan Raj), a businessman, offers him a large bribe & tells him to capture those oil wells but Vijay refuses to yield and warns Sangliyana. Vijay reaches Attamadugu and starts work.
Rajeswari Devi (Manjula), a greedy, cruel & crooked woman is the head of Attamadugu, whose word is a law for the villagers. In fact, the property that she is enjoying belongs to her brother Jaya Chandra (Murali Mohan) who is a drunkard. Rajeswari Devi keeps him locked in a room and treats his daughter Lakshmi (Madhurima) as a servant. Vijay always gives a tough fight to Rajeswari Devi and teases her daughter Nirmala Devi (Nagma). But somehow Vijay feels that Lakshmi is his own sister.
Meanwhile, Rajeswari Devi joins hands with Sangliyana and they make a plan to kill Vijay. Lakshmi overhears their plan and informs Vijay before they attack him, thereby protecting Vijay. Rajeswari Devi decides to punish Lakshmi by arranging her marriage with another servant. Vijay stops this event and scolds Rajeswari Devi. Then, Rajeswari Devi says that no one will marry Lakshmi because her mother is a prostitute and shows her photograph which crushes Vijay because that photograph belongs to none other than his mother Shanta. Vijay returns to his hometown and asks his mother why she is living like a widow when her husband is alive. Then she reveals the past.
Jaya Chandra was the original arbitrator of the village and was treated as God by villagers. Rajeswari Devi was jealous of his popularity and eager to usurp his authority. So, she tricked Shanta and accused her of having an extramarital affair in front of the villagers. Hence, Jaya Chandra pronounced the judgment that she should be widowed by removing her wedding chain (Mangalsutra), bangles and sectarian mark (Bottu). Shanta tried to commit suicide but Vijay saved her and both of them left the village.
Now, Vijay decides to teach Rajeswari Devi a lesson. Meanwhile, Nirmala Devi also comes to know the truth and starts loving Vijay. With her help Vijay plays the same game with Rajeswari Devi and makes her admit the injustice she had done to his mother in front of everyone. Jaya Chandra also feels remorseful and all of them go to bring Shanta back home. At the same time Sangliyana kidnaps her. Finally, Vijay kills Sangliyana. In the attack Jaya Chandra is injured and he gives the sectarian mark to Shanta with his blood. Rajeswari Devi also realizes her mistakes, apologizes to everyone and the film ends with the marriage of Vijay & Nirmala Devi."
2011,Ala Modalaindi,Telugu,Nandini Reddy,"Nani, Nithya Menen",romance,https://en.wikipedia.org/wiki/Ala_Modalaindi,"The film begins with an accident. Gautham (Nani) is abducted by John Abraham (Ashish Vidyarthi). On the way, Gautham is forced to narrate his tale as he talks of stopping a marriage and John too talks of preventing a wedding. Hence, the flashback. Gautham is ready to propose to Simran (Kriti Kharbanda) with a bunch of red roses, but destiny has other plans. Elsewhere, Nithya (Nithya Menen) is playing cricket and hits Gautham with her shot. He is then taken to the hospital in the stretcher. Simran falls in love with the doctor treating Gautham and they get married eventually. Gautham is invited and goes to the wedding but cannot face Simran. When he walks out, he gets drunk and meets a drunk Nithya who actually was in love with the doctor. They go around freaking during the night and part ways the next day. As destiny has it, they happen to meet in a pub after a few days. Gautham accompanies her everywhere. He realises he's in love with her, but before he could tell her, he finds out that she is already engaged. Gautham steps back and stays secluded. Nithya and her fiance end their engagement over an argument about Gautham. Unaware of this and having moved on, Gautham starts dating a veterinary doctor, Kavya (Sneha Ullal), but they break up after an altercation. Nithya realizes that she loves Gautam and goes to his house after his mother dies, to propose to him, but is shocked to see Kavya in his house. Thinking that they both are married, she leaves to Bangalore and accepts the marriage proposal her parents set for her. After realizing Nithya misunderstood him, Gautham and his friends leave for Bangalore to stop the marriage. On the way to Bangalore, their car stops and Gautam asks for a lift and they accept and that is where he was kidnapped. After a big fight between Gautam and the kidnapper, it is revealed that the kidnapper was looking for the one who gave Gautam a lift not Gautam. The kidnapper helps Gautam to reach the wedding. Gautam's friends reveal the truth to Nithya. In order to meet Gautham, Nithya escapes from the wedding and ends up asking the kidnapper for a lift. After a whole confusion, Nithya unites with Gautham."
1939,The Great Commandment,American,Irving Pichel,"Albert Dekker, John Beal",biblical,https://en.wikipedia.org/wiki/The_Great_Commandment,"The film takes place in 30 A.D. Judea in a fictional village near Jerusalem. The protagonist is Joel, the elder son of the village rabbi Lamech. Lamech wants Joel to follow in his footsteps as a scribe and rabbi, but Joel is secretly a zealot leader, believing that more must be done to help his nation than studying the Scriptures. He is also secretly in love with Tamar, the daughter of the carpet merchant Jemuel, and he overhears his father and Jemuel arranging a marriage between Tamar and one of Lamech's sons. Unfortunately for Joel it turns out to be his younger brother Zadok, an impetuous zealot, whom Joel has to protect from his own recklessness. A crisis is brought about by the arrival of a troop of soldiers led by a centurion, Longinus, who issues the demand for a special tax to be collected by a tax collector traveling with them. Zadok and other zealots organize the release of prisoners taken by the soldiers, which moves Longinus to plan a massacre of the men of the village. Zadok wants to attack the Romans right away, but Joel feels that a larger resistance is needed through someone reputed to be the coming Messiah of the Jewish people, Jesus Christ. Joel runs afoul of his father in declaring his love for Tamar, whom his father wants wedded to Zadok, and in revealing that he is a zealot leader.
With the sword of the zealots entrusted to him, Joel goes out to find Jesus in order to enlist His leadership of their cause. [Jesus is not presented directly in this film, but only as a reflection in water, as the glow of light on His listeners, and by way of the voice of Irving Pichel, the director.] Joel meets Jesus' disciples, Andrew and Judas Iscariot, who have two different ideas about Jesus' mission. Judas, like the zealots, thinks that Jesus should be a military and political leader who would lead his people against the Romans. Joel confronts Jesus with the sword of the zealots, and Jesus declines his invitation with the words of Matthew 26:52 ""all who take up the sword will perish by the sword.""
Joel disappointedly returns to his village just in time for the wedding feast of his brother Zadok and his beloved Tamar. He comes up with the idea that he and the zealots would kidnap Jesus and force His hand to support them. This is forestalled by Jesus' appearance at the village gate where Joel's father is presented as the scribe who asks Jesus, ""What is the greatest commandment in the Law? (Luke 10:25-37). Jesus replies with His Parable of the Good Samaritan. Jesus' exhortation at the end to, ""Go and do thou likewise"", moves Joel to abandon his plan to kidnap Jesus.
Zadok is told by Nathan the innkeeper that Longinus is vulnerably asleep at his inn, and he gives up going to his bridal bed in order to kill Longinus. Nathan calls Joel and Lamech to the inn because Longinus repulsed Zadok's attack by killing him. The effect of Jesus' words on Joel moves him to keep from killing the unconscious Longinus and standing as a buffer between him and the men of the village, who are thirsting for his blood. When they ask Joel why he is protecting Longinus, he replies that he too is his brother.
Longinus sends word for his soldiers to meet him at the inn, and he has the soldiers arrest Joel and take him to prison in Jerusalem. In prison Joel misses the Passion of Jesus. Tamar is allowed to visit him. They are met by Longinus, who tells Joel that he had him arrested for his own protection from the village mob. He tells him of another wonder: he was a witness of Jesus' crucifixion, and he was the soldier who thrust the spear in His side to make sure He was dead. Longinus throws down the spear, and he, Joel, and Tamar return to the village to witness their Christian faith."
1999,Kiss Toledo Goodbye,American,Lyndon Chubbuck,"Michael Rapaport, Christopher Walken, Christine Taylor",comedy,https://en.wikipedia.org/wiki/Kiss_Toledo_Goodbye,"To prevent a gang war, a young Ohio investment advisor (Michael Rapaport) must impersonate a Mafia Godfather for a few weeks following the assassination of his crime-boss biological father (Robert Forster) whom he had not even known existed. He tries to keep this new life secret from his real family, especially from his very jealous fiancee (Christine Taylor), with the help of his new Cosa Nostra ""family,"" especially his father's chief lieutenant (Christopher Walken)."
1940,Black Friday,American,Arthur Lubin,"Boris Karloff, Bela Lugosi, Stanley Ridges",science fiction,https://en.wikipedia.org/wiki/Black_Friday_(1940_film),"The famous Dr. Ernest Sovac's best friend, bookish college professor George Kingsley, is run down while crossing a street. In order to save his friend's life, Sovac implants part of another man's brain into the professor's. Unfortunately, the other man was a gangster who was involved in the accident. The professor recovers but at times behaves like the gangster, and his whole personality changes. Sovac is horrified but also intrigued, because the gangster has hidden $500,000 somewhere in the city. The doctor continues to treat his friend and, when the professor is under the influence of the gangster's brain, Sovac attempts to have the man lead him to the fortune. Béla Lugosi plays a gangster also trying to get his hands on the cash."
1997,Poochudava,Tamil,Udayasankar,"Abbas, Simran
",unknown,https://en.wikipedia.org/wiki/Poochudava,"The story is very simple and a usual typical Indian love story. It was Abbas' and Simran's second project where there acting together after a Telegu movie, Priya O Priya. Abbas (as Kannan) play the role of a rebellious college student in this movie. While, Simran (as Nandhini) acts as his love lady. The first half of the movie is about how Abbas and Simran have their pet fights and then the second half of the movie is about how they both join hands together to fight against her parents' opposition."
